order,domain,arm,channel,dice_percent
1,ORIGA,K_FREE,OC,69.95931046304165
1,ORIGA,K_FREE,macro,78.9263043022461
1,ORIGA,G_BOUND,OD,87.71879068389127
1,ORIGA,G_BOUND,OC,69.5206128278378
1,ORIGA,G_BOUND,macro,78.61970175586454
1,ORIGA,G_CONST,OD,87.68423003550173
1,ORIGA,G_CONST,OC,69.46288094166157
1,ORIGA,G_CONST,macro,78.57355548858163
1,ORIGA,G_SHUFFLE,OD,87.6903400554793
1,ORIGA,G_SHUFFLE,OC,69.48403479662989
1,ORIGA,G_SHUFFLE,macro,78.58718742605458
1,ORIGA,G_GLOBAL,OD,87.6994334742747
1,ORIGA,G_GLOBAL,OC,69.47325606125901
1,ORIGA,G_GLOBAL,macro,78.58634476776685
1,REFUGE_Valid,C,OD,82.49780776701517
1,REFUGE_Valid,C,OC,64.5032474911912
1,REFUGE_Valid,C,macro,73.50052762910319
1,REFUGE_Valid,RP,OD,82.25651263667314
1,REFUGE_Valid,RP,OC,64.12303628906461
1,REFUGE_Valid,RP,macro,73.18977446286888
1,REFUGE_Valid,MT,OD,84.59958714473736
1,REFUGE_Valid,MT,OC,65.73789710885438
1,REFUGE_Valid,MT,macro,75.16874212679588
1,REFUGE_Valid,MT_RP,OD,84.46557480774136
1,REFUGE_Valid,MT_RP,OC,65.4390856961744
1,REFUGE_Valid,MT_RP,macro,74.95233025195789
1,REFUGE_Valid,FT,OD,85.55698605724038
1,REFUGE_Valid,FT,OC,66.95216242021908
1,REFUGE_Valid,FT,macro,76.25457423872973
1,REFUGE_Valid,FT_RP,OD,85.53198994219187
1,REFUGE_Valid,FT_RP,OC,66.74037995434644
1,REFUGE_Valid,FT_RP,macro,76.13618494826916
1,REFUGE_Valid,KDG,OD,82.44792107595383
1,REFUGE_Valid,KDG,OC,64.48592127750105
1,REFUGE_Valid,KDG,macro,73.46692117672744
1,REFUGE_Valid,K_ALL,OD,82.44141802004532
1,REFUGE_Valid,K_ALL,OC,64.49847857720442
1,REFUGE_Valid,K_ALL,macro,73.46994829862487
1,REFUGE_Valid,K_MAG,OD,82.47366124946043
1,REFUGE_Valid,K_MAG,OC,64.49615940321135
1,REFUGE_Valid,K_MAG,macro,73.48491032633588
