order,subset,arm,OD,OC,macro
4,remaining_dev,G_SHUFFLE,86.41021224880326,69.41341203195127,77.91181214037726
4,remaining_dev,G_GLOBAL,86.44346191997462,69.43708976927967,77.94027584462717
4,legacy_dev,C,86.12838899926022,69.916019680712,78.0222043399861
4,legacy_dev,RP,86.06002256166107,69.84635517518288,77.95318886842198
4,legacy_dev,MT,85.76180917725581,69.68504023744909,77.72342470735245
4,legacy_dev,MT_RP,85.73380944070101,69.69366666791629,77.71373805430865
4,legacy_dev,FT,84.80840695746154,69.00149466217506,76.9049508098183
4,legacy_dev,FT_RP,84.79269512160994,69.09698142972185,76.94483827566589
4,legacy_dev,KDG,86.17024185488683,69.89552265710343,78.03288225599512
4,legacy_dev,K_ALL,86.15936562805642,69.90195705688414,78.03066134247028
4,legacy_dev,K_MAG,86.13152148220328,69.91670073161019,78.02411110690674
4,legacy_dev,K_FREE,86.15280784606472,69.93702546254971,78.04491665430722
4,legacy_dev,G_BOUND,86.1001702349666,69.97099356181587,78.03558189839123
4,legacy_dev,G_CONST,86.06537710085848,69.94918796325778,78.00728253205813
4,legacy_dev,G_SHUFFLE,86.07472381998976,69.95418842761893,78.01445612380435
4,legacy_dev,G_GLOBAL,86.10302601874297,69.97977354445317,78.04139978159807
4,p1_extension_dev,C,86.9459066614528,70.20423351878424,78.57507009011852
4,p1_extension_dev,RP,86.87250848088483,70.19243171744634,78.5324700991656
4,p1_extension_dev,MT,86.59304074545972,70.02203143472437,78.30753609009204
4,p1_extension_dev,MT_RP,86.55921467804009,70.05317520915735,78.30619494359873
4,p1_extension_dev,FT,85.46360503317426,69.00359729605145,77.23360116461286
4,p1_extension_dev,FT_RP,85.44624855309557,69.10466264836155,77.27545560072856
4,p1_extension_dev,KDG,86.99444571330336,70.21505815374442,78.6047519335239
4,p1_extension_dev,K_ALL,86.98312012030382,70.21569558163364,78.59940785096873
4,p1_extension_dev,K_MAG,86.94730609627544,70.20538769810187,78.57634689718866
4,p1_extension_dev,K_FREE,86.95619607472568,70.21959051972712,78.5878932972264
4,p1_extension_dev,G_BOUND,86.90293831744313,70.23130159921517,78.56711995832916
4,p1_extension_dev,G_CONST,86.86466093824528,70.21539105104068,78.54002599464297
4,p1_extension_dev,G_SHUFFLE,86.8721599681337,70.21779827871815,78.54497912342592
4,p1_extension_dev,G_GLOBAL,86.89914453465715,70.2410490272159,78.57009678093652
4,all_dev,C,86.55789037529121,69.81467818385838,78.18628427957479
4,all_dev,RP,86.48640810612264,69.7697744243466,78.12809126523462
4,all_dev,MT,86.30998225241042,69.72217645864401,78.01607935552721
4,all_dev,MT_RP,86.28217650230164,69.73736032628035,78.00976841429099
4,all_dev,FT,85.2514560054401,68.90446573772945,77.07796087158478
4,all_dev,FT_RP,85.24022738408138,69.00636455417917,77.12329596913027
4,all_dev,KDG,86.59966263984965,69.79857177861444,78.19911720923206
4,all_dev,K_ALL,86.58831131851616,69.80352655763404,78.19591893807511
4,all_dev,K_MAG,86.55942677212536,69.81381887746116,78.18662282479326
4,all_dev,K_FREE,86.5730503703586,69.82634601103946,78.19969819069904
4,all_dev,G_BOUND,86.53327561354234,69.86358278824815,78.19842920089525
4,all_dev,G_CONST,86.49681551993692,69.84643972748887,78.1716276237129
4,all_dev,G_SHUFFLE,86.50493384410979,69.85126529761165,78.17809957086072
4,all_dev,G_GLOBAL,86.53692084876644,69.87611216321724,78.20651650599186
