order,scope,pair,channel,n,mean,median,p10,p90,positive,zero,negative,minimum,worst_decile_mean,tail_count,assd_common_valid,assd_not_jointly_defined,assd_left_undefined,assd_right_undefined,assd_delta_mean_px,assd_delta_median_px,assd_adverse_upper_decile_mean_px
1,REFUGE_Valid,K_ALL-C,OD,736,-0.05638974696986775,-0.06717115751139202,-0.21206587188464243,0.0997187486271589,223,1,512,-1.0634392601896248,-0.31863374556347596,74,736,0,0,0,0.04872871782891648,0.060054174040696795,0.8440711569105506
1,REFUGE_Valid,K_ALL-C,OC,736,-0.004768913986784221,-0.01381071576717352,-0.13996350755778042,0.11101394338103865,313,9,414,-0.3786568960489012,-0.2036391532098298,74,736,0,0,0,-0.0026215239752602577,0.002083746447540058,0.2352729718825799
1,REFUGE_Valid,K_ALL-C,macro,736,-0.030579330478326366,-0.03675795421367867,-0.15039380343540576,0.09092672813618141,240,0,496,-0.6928824934023914,-0.21320217203609956,74,,,,,,,
1,REFUGE_Valid,K_MAG-C,OD,736,-0.02414651755475516,-0.022021900004520756,-0.05773071213396874,0.005756061490558295,120,10,606,-0.13692789441607234,-0.07186851365280761,74,736,0,0,0,0.026778556978042888,0.019084007504245548,0.20932558056031692
1,REFUGE_Valid,K_MAG-C,OC,736,-0.007088087979854668,-0.005191409626881249,-0.027520409057163464,0.011341039089890481,203,88,445,-0.12572812866354088,-0.04302499518956959,74,736,0,0,0,0.0064548541368890265,0.003488846406266788,0.09889778732437764
1,REFUGE_Valid,K_MAG-C,macro,736,-0.01561730276730503,-0.014338303588384838,-0.03759322211289162,0.004257708338772925,128,0,608,-0.10044680303781806,-0.04802011858120556,74,,,,,,,
1,REFUGE_Valid,K_FREE-C,OD,736,0.02537254958322425,0.015750504572814572,-0.031993287581044694,0.0872480110491125,494,0,242,-0.16960358892977867,-0.05741886582822749,74,736,0,0,0,-0.0390161628977969,-0.0116926266571995,0.29668893915598077
1,REFUGE_Valid,K_FREE-C,OC,736,0.009974253592226132,0.005195675767502572,-0.04647157786636935,0.06538253177477138,399,34,303,-0.2435928959611089,-0.08622283964006183,74,736,0,0,0,-0.014786747063506881,-0.006319277829676118,0.14951605869407117
1,REFUGE_Valid,K_FREE-C,macro,736,0.017673401587725138,0.012530359258816626,-0.027660427959902423,0.06408746438793522,474,0,262,-0.11661186139999558,-0.04720361795114425,74,,,,,,,
1,REFUGE_Valid,G_BOUND-C,OD,736,0.06900334960624672,0.07701862505201107,-0.012041163080867001,0.13383857909033403,642,1,93,-0.22043019170566724,-0.07057864913897294,74,736,0,0,0,-0.062038278102046485,-0.06795958731906371,0.3195782100773046
1,REFUGE_Valid,G_BOUND-C,OC,736,0.1870411372740402,0.18852637906198733,0.053546701807935526,0.359848534965565,682,0,54,-0.43052201262283596,-0.08582571015012327,74,736,0,0,0,-0.11407577680658676,-0.10989823179143876,0.13465172954819626
1,REFUGE_Valid,G_BOUND-C,macro,736,0.1280222434401434,0.138376724731043,0.03442939950301094,0.21358661433654724,692,0,44,-0.2682026148236427,-0.04227889433434924,74,,,,,,,
1,REFUGE_Valid,G_CONST-C,OD,736,-0.04434591805083207,-0.021458683957770175,-0.2290413812781722,0.10524469017764715,320,0,416,-0.42421233183120854,-0.29225526283690856,74,736,0,0,0,0.04516145719816849,0.014086986723058637,0.5389018903813497
1,REFUGE_Valid,G_CONST-C,OC,736,0.1531852848831262,0.15929909899004002,0.04645323352770181,0.2841295270895494,678,0,58,-0.4674652915737765,-0.10656134982899376,74,736,0,0,0,-0.09506510570105911,-0.09809807615310095,0.13478366928955177
1,REFUGE_Valid,G_CONST-C,macro,736,0.054419683416146974,0.06355550476918048,-0.03879201261320908,0.14192964862037027,600,0,136,-0.3796751367793394,-0.10804172234134231,74,,,,,,,
1,REFUGE_Valid,G_SHUFFLE-C,OD,736,-0.023215494028537544,-0.003267421564445705,-0.1922287735066086,0.1135887432042848,358,3,375,-0.38557576825205553,-0.2468412895454098,74,736,0,0,0,0.021421547766486033,0.0062501230469562685,0.4566579315308236
1,REFUGE_Valid,G_SHUFFLE-C,OC,736,0.15501264640996543,0.16067106916965446,0.05013801512855076,0.2760346558730531,680,0,56,-0.4392711745244249,-0.09125222557529407,74,736,0,0,0,-0.09653281875982275,-0.09762815259247404,0.13429943616399959
