order,subset,domain,arm,n,OD,OC,macro
0,all_dev,ORIGA,C_PCA_GLOBAL,650,88.30422090079702,72.50170007255204,80.40296048667453
0,all_dev,ORIGA,C_PCA_SHUFFLED,650,88.30151598220816,72.50062137903936,80.40106868062375
0,all_dev,ORIGA,C_PCA_REGION,650,88.16912925849086,73.03880828150498,80.60396876999793
0,all_dev,REFUGE_Valid,C,800,78.44882115844366,59.751211904497566,69.10001653147062
0,all_dev,REFUGE_Valid,C_PER256,800,85.9317616372803,66.17577735515191,76.0537694962161
0,all_dev,REFUGE_Valid,C_SENS,800,78.44882115844366,59.751211904497566,69.10001653147062
0,all_dev,REFUGE_Valid,C_PCA_GLOBAL,800,77.8728969231824,59.66331650554864,68.76810671436552
0,all_dev,REFUGE_Valid,C_PCA_SHUFFLED,800,77.87508188990724,59.67377935465929,68.77443062228328
0,all_dev,REFUGE_Valid,C_PCA_REGION,800,78.0930084299699,58.73856545159886,68.41578694078437
0,all_dev,Drishti_GS,C,101,93.30916779163013,69.9762662663314,81.64271702898075
0,all_dev,Drishti_GS,C_PER256,101,86.27932469417291,62.7393083090265,74.50931650159971
0,all_dev,Drishti_GS,C_SENS,101,93.30916779163013,69.9762662663314,81.64271702898075
0,all_dev,Drishti_GS,C_PCA_GLOBAL,101,93.50491713563154,69.43564164448985,81.47027939006068
0,all_dev,Drishti_GS,C_PCA_SHUFFLED,101,93.50762826012566,69.43222122945713,81.46992474479137
0,all_dev,Drishti_GS,C_PCA_REGION,101,93.49429935025256,71.73177613047865,82.6130377403656
1,remaining_dev,REFUGE,C,336,91.04440483046776,81.06637633862896,86.05539058454835
1,remaining_dev,REFUGE,C_PER256,336,87.58054235433792,83.18520896483558,85.38287565958674
1,remaining_dev,REFUGE,C_SENS,336,91.04440483046776,81.06637633862896,86.05539058454835
1,remaining_dev,REFUGE,C_PCA_GLOBAL,336,90.96967430075958,81.00270543302959,85.98618986689458
1,remaining_dev,REFUGE,C_PCA_SHUFFLED,336,90.9695864014527,81.01311116519244,85.99134878332258
1,remaining_dev,REFUGE,C_PCA_REGION,336,91.0006191823699,80.00194225689964,85.50128071963476
1,remaining_dev,ORIGA,C,586,87.84554846283864,69.85253871598225,78.84904358941044
1,remaining_dev,ORIGA,C_PER256,586,81.05764075767144,63.59626420317423,72.32695248042283
1,remaining_dev,ORIGA,C_SENS,586,87.84554846283864,69.85253871598225,78.84904358941044
1,remaining_dev,ORIGA,C_PCA_GLOBAL,586,87.8084256567608,69.56111822990677,78.68477194333379
1,remaining_dev,ORIGA,C_PCA_SHUFFLED,586,87.80321382726888,69.54972135425025,78.67646759075957
1,remaining_dev,ORIGA,C_PCA_REGION,586,87.7881006637253,70.55086695193681,79.16948380783106
1,remaining_dev,REFUGE_Valid,C,736,82.49780776701517,64.5032474911912,73.50052762910319
1,remaining_dev,REFUGE_Valid,C_PER256,736,86.05557867522653,66.35780070691573,76.20668969107112
1,remaining_dev,REFUGE_Valid,C_SENS,736,82.49780776701517,64.5032474911912,73.50052762910319
1,remaining_dev,REFUGE_Valid,C_PCA_GLOBAL,736,82.26136454169739,64.45715433566386,73.35925943868062
1,remaining_dev,REFUGE_Valid,C_PCA_SHUFFLED,736,82.24178629071568,64.45235513088069,73.34707071079819
1,remaining_dev,REFUGE_Valid,C_PCA_REGION,736,82.25651263667314,64.12303628906461,73.18977446286888
1,remaining_dev,Drishti_GS,C,37,85.95899660557197,61.281864065427285,73.62043033549963
1,remaining_dev,Drishti_GS,C_PER256,37,85.95899660557197,61.281864065427285,73.62043033549963
1,remaining_dev,Drishti_GS,C_SENS,37,85.95899660557197,61.281864065427285,73.62043033549963
1,remaining_dev,Drishti_GS,C_PCA_GLOBAL,37,85.96552645277323,61.273250407462754,73.619388430118
1,remaining_dev,Drishti_GS,C_PCA_SHUFFLED,37,85.96528892489809,61.272417434846375,73.61885317987223
1,remaining_dev,Drishti_GS,C_PCA_REGION,37,85.9546986187967,61.29669213895056,73.62569537887362
1,legacy_dev,REFUGE,C,32,91.2011303565555,80.51875180585125,85.85994108120337
1,legacy_dev,REFUGE,C_PER256,32,87.38612325546427,82.79626936078566,85.09119630812498
1,legacy_dev,REFUGE,C_SENS,32,91.2011303565555,80.51875180585125,85.85994108120337
1,legacy_dev,REFUGE,C_PCA_GLOBAL,32,91.13749934582859,80.45343529057637,85.7954673182025
1,legacy_dev,REFUGE,C_PCA_SHUFFLED,32,91.13729155142178,80.458139576198,85.7977155638099
1,legacy_dev,REFUGE,C_PCA_REGION,32,91.1506908067891,79.62630615328641,85.38849848003775
1,legacy_dev,ORIGA,C,32,86.69418706515917,71.14052791856565,78.91735749186242
1,legacy_dev,ORIGA,C_PER256,32,79.91092240227574,64.43184100906028,72.17138170566801
