stream,control,channel,domain,block_type,block,phase,first_visit,all_arrivals,prior_domain_exposures,domain_occurrence,gap_since_domain_visit,is_switch_segment,metric,inferential_status,n_rows,n_unique,n_defined,n_missing,support,mean,median,p10,p90,minimum,worst_decile_mean,tail_count,positive,negative,zero,weight_sum,weighted_conditional_mean,signed_net,positive_mass,negative_mass,macro_contribution,primary_contribution,null_reason
0,C,OC,REFUGE,segment,1,all,1,400,0,1,,False,delta_step,POST_HOC_EXPLORATORY,336,336,336,0,DESCRIPTIVE,0.0015369678518766885,0.00022918104235714054,-0.04531870426241369,0.04414669636121715,-0.14341052241822183,-0.06807142902215864,34,170,166,0,0.25,0.0015369678518766885,0.00038424196296917213,0.0037930997662683984,-0.0034088578032992266,0.00019212098148458607,9.606049074229303e-05,
0,C,OC,REFUGE,segment,1,all,1,400,0,1,,False,delta_post,POST_HOC_EXPLORATORY,336,336,336,0,DESCRIPTIVE,0.14629523049846,0.15244973224419311,-0.760654661306873,0.9479268542840344,-1.8049104897960433,-1.0887670826245346,34,209,127,0,0.25,0.14629523049846,0.036573807624615,0.08200933875283734,-0.045435531128222344,0.0182869038123075,0.00914345190615375,
0,R_SCALE,OC,REFUGE,segment,1,all,1,400,0,1,,False,delta_pre,POST_HOC_EXPLORATORY,336,336,336,0,DESCRIPTIVE,0.2508319720189789,0.21155615012973072,-0.7650279435054799,1.3430298072300246,-2.2528927762955675,-1.3823417921265706,34,222,112,2,0.25,0.2508319720189789,0.06270799300474472,0.11431134565796063,-0.051603352653215896,0.03135399650237236,0.01567699825118618,
0,R_SCALE,OC,REFUGE,segment,1,all,1,400,0,1,,False,delta_step,POST_HOC_EXPLORATORY,336,336,336,0,DESCRIPTIVE,0.001938951444578272,0.00021006453434324612,-0.03905888700994353,0.050026807971846665,-0.15050507983701777,-0.062323334101046825,34,172,164,0,0.25,0.0019389514445782717,0.00048473786114456793,0.0037912891403434554,-0.0033065512791988876,0.00024236893057228397,0.00012118446528614198,
0,R_SCALE,OC,REFUGE,segment,1,all,1,400,0,1,,False,delta_post,POST_HOC_EXPLORATORY,336,336,336,0,DESCRIPTIVE,0.2527709234635572,0.22411634774582012,-0.769216401242943,1.365118190374119,-2.262647001583886,-1.3919155268251753,34,222,114,0,0.25,0.2527709234635572,0.0631927308658893,0.11496214960802109,-0.05176941874213179,0.03159636543294465,0.015798182716472323,
0,R_SHUFFLE,OC,REFUGE,segment,1,all,1,400,0,1,,False,delta_pre,POST_HOC_EXPLORATORY,336,336,336,0,DESCRIPTIVE,0.2725658114760775,0.2294860000611223,-0.8086762239739613,1.379402355285535,-2.3874349880056087,-1.4501095239613448,34,222,112,2,0.25,0.2725658114760775,0.06814145286901938,0.12143554211482373,-0.05329408924580435,0.03407072643450969,0.017035363217254844,
0,R_SHUFFLE,OC,REFUGE,segment,1,all,1,400,0,1,,False,delta_step,POST_HOC_EXPLORATORY,336,336,336,0,DESCRIPTIVE,0.0018569279292519297,0.002691273692207119,-0.04281174814609301,0.04691251851163969,-0.13318356896537864,-0.0623330675879572,34,182,154,0,0.25,0.0018569279292519297,0.00046423198231298243,0.003694465846097101,-0.0032302338637841183,0.00023211599115649121,0.00011605799557824561,
0,R_SHUFFLE,OC,REFUGE,segment,1,all,1,400,0,1,,False,delta_post,POST_HOC_EXPLORATORY,336,336,336,0,DESCRIPTIVE,0.27442273940532946,0.24109201617227427,-0.791146997214554,1.4447711545081887,-2.3737899153556015,-1.4670805104385987,34,224,112,0,0.25,0.27442273940532946,0.06860568485133237,0.1224149879579575,-0.053809303106625135,0.03430284242566618,0.01715142121283309,
0,C,macro,REFUGE,segment,1,all,1,400,0,1,,False,delta_pre,POST_HOC_EXPLORATORY,336,336,336,0,DESCRIPTIVE,0.0470394102781844,0.10456767894596197,-0.5104475597441969,0.5034089767844705,-1.3538159972896366,-0.8073042002803296,34,210,125,1,0.25,0.047039410278184396,0.011759852569546099,0.04505902363938021,-0.03329917106983411,0.011759852569546099,0.0058799262847730495,
0,C,macro,REFUGE,segment,1,all,1,400,0,1,,False,delta_step,POST_HOC_EXPLORATORY,336,336,336,0,DESCRIPTIVE,-0.00010763876871376974,0.0016492836913997166,-0.025014025682008167,0.02611386486722722,-0.23356854829731333,-0.04530026458824565,34,177,159,0,0.25,-0.00010763876871376979,-2.6909692178442448e-05,0.0021584296014898804,-0.002185339293668323,-2.6909692178442448e-05,-1.3454846089221224e-05,
0,C,macro,REFUGE,segment,1,all,1,400,0,1,,False,delta_post,POST_HOC_EXPLORATORY,336,336,336,0,DESCRIPTIVE,0.04693177150947063,0.1020314972908345,-0.5024668954004774,0.49665297299486255,-1.3356165472482218,-0.8017931854819679,34,210,126,0,0.25,0.04693177150947063,0.011732942877367657,0.045406076276340655,-0.033673133398973,0.011732942877367657,0.005866471438683829,
